name,area,production,yield
Angola,23259,281164.65,120886
Benin,41126,734370.14,178566
Brazil,200527,2952129,147219
Burundi,9154,88621.41,96816
Cambodia,42560,451135.85,105999
Cameroon,206624,2821661.3,136560
Central African Republic,640,5885.19,91901
China,50737,670416.44,132136
"China, mainland",50737,670416.44,132136
Colombia,487076,8030241.91,164866
Congo,12658,157681.26,124566
Costa Rica,71009,1168132.68,164505
Côte d'Ivoire,400000,2800000,70000
Democratic Republic of the Congo,348146,2290720.16,65798
Dominican Republic,23000,318443.8,138454
Ecuador,141381,2296402.23,162426
Equatorial Guinea,3963,40689.39,102660
Gabon,7551,23037.2,30508
Gambia,3516,35111.96,99874
Ghana,365678,2503782.96,68470
Guatemala,215000,3030238.78,140941
Guinea,330467,883552.28,26736
Guinea-Bissau,9578,80878.12,84438
Honduras,225000,2124081,94404
Indonesia,14953126,256829530.7,171756
Liberia,19202,190388.49,99149
Madagascar,1814,21038.96,115998
Malaysia,5135576,92500000,180116
Mexico,115137,1619026.88,140618
Nicaragua,34894,495594.95,142029
Nigeria,4907531,12608938.08,25693
Panama,24716,250056.63,101173
Papua New Guinea,237770,3035092.13,127648
Paraguay,15680,148127.65,94470
Peru,91947,1400177.58,152281
Philippines,63381,533398.52,84158
Sao Tome and Principe,1980,18787.93,94871
Senegal,11863,130885.28,110334
Sierra Leone,46991,359024.43,76403
Solomon Islands,26000,363852.15,139943
Suriname,552,1100.75,19947
Thailand,984060,19061392,193702
Togo,65389,587949.11,89916
United Republic of Tanzania,5453,77104.33,141399
Venezuela (Bolivarian Republic of),54788,567615.36,103603
